run_file,task,n_samples,best_acc,mean_acc,total_successes,success_rate,first_success_k
ev_1.2_0_120.csv,f3cdc58f,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,66e6c45b,200.0,1.0,0.91,182.0,0.91,2.0
ev_1.2_0_200.csv,00576224,200.0,1.0,0.7,140.0,0.7,1.0
ev_1.2_0_200.csv,1a2e2828,200.0,1.0,0.355,71.0,0.355,3.0
ev_1.2_0_200.csv,c7d4e6ad,200.0,1.0,0.215,43.0,0.215,1.0
ev_1.2_0_200.csv,3194b014,200.0,1.0,0.065,13.0,0.065,18.0
ev_1.2_0_200.csv,bf699163,200.0,1.0,0.055,11.0,0.055,9.0
ev_1.2_0_200.csv,770cc55f,200.0,1.0,0.025,5.0,0.025,43.0
ev_1.2_0_200.csv,a680ac02,200.0,1.0,0.005,1.0,0.005,165.0
ev_1.2_0_200.csv,03560426,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,0607ce86,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,09c534e7,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,0a1d4ef5,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,1c0d0a4b,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,1da012fc,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,310f3251,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,3979b1a8,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,4b6b68e5,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,55783887,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,692cd3b6,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,7ee1c6ea,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,85fa5666,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,963f59bc,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,a04b2602,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,b9630600,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,c35c1b4c,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,d37a1ef5,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,e9ac8c9e,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,e9c9d9a1,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,ef26cbf6,200.0,0.0,0.0,0.0,0.0,
ev_1.2_0_200.csv,f3cdc58f,200.0,0.0,0.0,0.0,0.0,
